@id,@lat,@lon
366465995,10.8335682,106.7441355
367455889,10.7281968,106.6413706
367462346,10.7332974,106.6408551
411918020,10.7824512,106.6773049
411918246,10.7848583,106.7000980
446043808,10.8416010,106.6572550
474949479,10.8227031,106.7051972
714567078,10.7811643,106.6898451
714567113,10.7809198,106.6899290
715623189,10.7923386,106.6760528
718436409,10.7987704,106.6865074
721839862,10.8050335,106.6667305
723876655,10.8092219,106.6689043
729602633,10.8032942,106.6925700
729602639,10.7800710,106.7039377
729602648,10.7536456,106.6582631
729602654,10.7528814,106.6695842
729602655,10.7538633,106.6664001
729602658,10.8085023,106.6781748
729602660,10.7669666,106.6962301
729602661,10.7808680,106.6982351
729602662,10.7717072,106.6874980
729602669,10.7573679,106.6744982
729602674,10.7416884,106.7299407
729602676,10.7806494,106.6984325
729602677,10.7815168,106.6926088
729602679,10.7567772,106.6534012
729602689,10.7670104,106.6872004
729602693,10.7702226,106.6938718
729602695,10.7917715,106.6913899
729602696,10.8115508,106.6958817
729602698,10.7862755,106.6660853
729602699,10.8000744,106.7110951
729602707,10.7676493,106.6953831
729602709,10.7559824,106.6628075
729602711,10.7820677,106.6288429
729602712,10.7682080,106.6841501
729602713,10.7777196,106.6655017
729602721,10.7677546,106.6666246
729602723,10.7994166,106.6962880
729602724,10.7567799,106.6852501
729602729,10.8000541,106.6962085
729602730,10.7863467,106.7016034
729602748,10.8483849,106.7746746
729602749,10.7886556,106.6760753
729602751,10.7501568,106.6507810
729602755,10.8591589,106.7497676
729602756,10.7620711,106.6563833
729602757,10.7699629,106.6821277
729602764,10.7570454,106.6780965
729602769,10.7755226,106.6194713
729602778,10.7279559,106.7051543
729602781,10.7726980,106.7048299
729602786,10.7772651,106.7022543
729602812,10.7616574,106.6896218
729602816,10.7882662,106.6618944
729602823,10.7660873,106.6639274
729604365,11.0878282,106.5144253
729604368,10.8097324,106.6337782
729604369,10.8493809,106.7188217
729604370,10.8140004,106.5810299
729604371,10.7780205,106.5372777
729604372,10.8527894,106.6090107
729604373,10.7977394,106.5970695
729604379,10.8451606,106.6183662
729604381,10.7556401,106.6509133
729604383,10.8035312,106.6889319
729604384,10.7444027,106.7293238
729604387,10.8848411,106.6059208
729604388,10.8532689,106.6263508
729604393,10.8358666,106.6356128
729604399,10.8161223,106.7578526
729604401,10.8893556,106.5940708
729604404,10.9429404,106.5330773
729604406,10.7550908,106.7248338
729604407,10.8161028,106.6885489
729604412,10.7706834,106.6893379
729604413,10.6799754,106.7551672
729604415,10.8240011,106.7731726
729604416,10.7268571,106.7333686
729604421,10.8158639,106.7131298
729604424,10.9704322,106.5171772
729604425,10.7684188,106.6512286
729604427,10.7477848,106.6467529
729604428,10.7860094,106.6225451
729604429,10.7912959,106.6338516
729604430,10.6776249,106.7556309
729604434,10.7880803,106.7299622
729604437,10.7998682,106.6198471
729604439,10.9784528,106.5041685
729604440,10.8266737,106.7139894
729604441,10.7970227,106.6537606
729604443,10.6696490,106.5755796
729604445,10.8071715,106.6685450
729604446,10.8366938,106.6570383
729604447,10.7983430,106.7045769
729604449,10.7220502,106.6002720
729604452,10.8606183,106.6175723
729604454,10.9158253,106.6002774
729604455,10.8524482,106.7526361
729604456,10.7571303,106.6207641
729604458,10.7260401,106.7340070
729604461,10.8224362,106.8309098
729604463,10.7436068,106.6210270
729604467,11.0067342,106.4259088
729604469,10.7946831,106.6146004
729604471,10.7652252,106.6597366
729604472,10.9494607,106.5210610
729604473,10.7286280,106.7432660
729604474,10.8637217,106.7244749
729604475,10.9848512,106.5586710
729604476,10.8070029,106.5990007
729604477,10.7443025,106.6439223
729604479,10.8155917,106.5939903
729604482,10.8677351,106.6153048
729604483,10.7678549,106.6094023
729604485,10.7861991,106.6221213
729604486,10.8140478,106.6896120
729604487,10.7801731,106.6682768
729604489,10.7573369,106.6737575
729604490,10.8407582,106.7458012
729604492,10.6969603,106.5969407
729604494,10.8823283,106.6285586
729604495,10.8823546,106.6310048
729604496,10.8110233,106.5751827
729604500,10.6776039,106.7556309
729604511,10.7905722,106.6942144
729604512,10.8681229,106.7209205
729604514,10.8353211,106.6622799
729604515,10.7514730,106.6632784
729604518,10.7446398,106.6222822
729604519,10.7655570,106.6642663
729604520,10.9754458,106.5036374
729604522,10.5880959,106.8246603
729604523,10.6771769,106.7563122
729604525,10.8401712,106.5992796
729604527,10.8595014,106.7048192
729604529,10.8635790,106.7198825
729604531,10.7918218,106.7300825
729604532,10.7964273,106.5585959
729604533,10.8171915,106.7203303
729604534,10.8141719,106.7090165
729604536,10.8929851,106.5808797
729604537,10.8674200,106.6153393
729604538,10.8852625,106.7719388
729604540,10.8795415,106.6486537
729604541,10.8177204,106.6952169
729604542,10.8441806,106.5996123
729604544,10.8145322,106.7098503
729604546,10.7491143,106.6280597
729604547,10.8722471,106.7379719
729604548,10.7391955,106.6158610
729604551,10.7260665,106.5927028
729604553,10.7835580,106.6543014
729604556,10.8156386,106.6244953
729604558,10.7521420,106.6769446
729604559,10.7258478,106.7338702
729604561,10.7381045,106.6149062
729604563,10.7762815,106.6082060
729604564,10.9542903,106.5139425
729604565,10.7560589,106.6509232
729604568,10.7834325,106.5938669
729604569,10.7353164,106.6562551
729604573,10.8169177,106.7132359
729604574,10.8570569,106.6536909
729604577,10.7411589,106.6472421
729604578,10.7460444,106.7290637
729604579,10.8009338,106.6607181
729604581,10.8364356,106.6578108
729604583,10.7909733,106.7913151
729604585,11.0088879,106.4179266
729604587,10.8491377,106.6253571
729604588,10.7552907,106.5972988
729604590,10.8498971,106.7673688
729604591,10.7646913,106.6189009
729604596,10.7999243,106.6686541
729604597,10.7438809,106.6212415
729604598,10.7402285,106.6170519
729604600,10.7384207,106.7299408
729604602,10.8480583,106.6230762
729604604,10.8575310,106.6054916
729604606,10.7843969,106.6173792
729604607,10.7272814,106.6557991
729604610,10.8052113,106.5659290
729604611,10.7370767,106.7306418
729604613,10.7558075,106.6050732
729604614,10.7144233,106.6159576
729604616,10.7542001,106.6680951
729604620,10.7291656,106.5824783
729604622,10.7761023,106.6489541
729604627,10.7859067,106.6902585
729604629,10.8669507,106.7893383
729604630,10.7532093,106.6332042
729604635,10.8591905,106.7114496
729604638,10.7320171,106.6559306
729604640,10.8032050,106.7091819
729604644,11.0599103,106.4769333
729604646,10.7840859,106.6223842
729604647,10.7561898,106.6509579
729604649,10.7908627,106.7909020
